id, x, y, freq, label
264, -30.932079, -32.018021, 39, affairs
265, -29.733124, -32.551579, 30, harrington
266, -16.659943, -39.432842, 38, instead
267, -35.150436, -32.759335, 38, streets
268, -46.109989, -28.258041, 31, com
269, -39.301125, -33.181915, 38, beyond
270, -43.731091, -29.984035, 38, upon
271, -22.118492, -39.257572, 36, late
272, -38.717281, -31.407965, 36, things
273, -30.881290, -36.432297, 35, neighborhood
274, -44.939465, -29.190413, 35, began
275, -34.996059, -36.062572, 36, nous
276, -46.458755, -28.265844, 34, helped
277, -15.755054, -40.492653, 27, nineteenth
278, -26.421829, -36.304096, 35, canoe
279, -17.599730, -39.049644, 33, square
280, -16.219847, -35.664486, 36, march
281, -35.183586, -35.184353, 37, despite
282, -22.922964, -38.728527, 35, hinterland
283, -36.187489, -32.485138, 36, soon
284, -30.431530, -36.466007, 37, went
285, -34.594807, -36.440247, 35, almost
286, -27.178509, -37.407402, 37, throughout
287, -44.491703, -29.594629, 22, class
288, -31.512306, -32.704468, 37, king
289, -33.384014, -36.694817, 37, indige
290, 46.696926, -21.026751, 27, party
291, -45.507282, -28.912230, 36, makah
292, -19.522541, -38.050472, 36, beach
293, -26.980101, -36.124027, 36, within
294, -21.967745, -35.402950, 33, red
295, 44.151260, -4.980433, 35, v
296, -32.335133, -31.359331, 34, county
297, -30.745770, -37.302898, 36, said
298, -30.654757, -35.566601, 36, according
299, -32.458618, -33.904041, 36, left
300, -19.992638, -37.102375, 35, creek
301, -18.403234, -34.775005, 36, collection
302, -38.172089, -33.247322, 35, ship
303, 44.524460, -21.464458, 36, different
304, -40.182259, -31.809578, 34, go
305, -26.669077, -36.611774, 6, mixed
306, -34.766048, -32.300671, 31, children
307, -31.142170, -36.533665, 32, low
308, -26.602325, -37.344635, 35, lost
309, -34.026714, -35.917660, 33, fishing
310, -32.356945, -32.195473, 35, mary
311, -32.848118, -36.138657, 33, clear
312, -18.913126, -38.739384, 35, founding
313, 50.709358, -17.637823, 35, prairie
314, -32.597393, -31.881598, 36, territory
315, 43.974548, -22.632505, 35, although
316, -41.558224, -30.042255, 34, federal
317, -35.885345, -32.521954, 32, fair
318, -28.172003, -35.380005, 34, took
319, 43.644707, -18.386101, 34, changed
320, -27.817690, -37.501152, 34, canal
321, -19.233780, -37.348759, 34, business
322, -22.455101, -38.337662, 33, waterfront
323, -31.883770, -34.040142, 31, region
324, -19.674219, -35.814594, 34, tion
325, 41.719868, -19.426252, 34, lawton
326, -21.635042, -36.139809, 31, ballard
327, 41.657413, -18.788818, 36, states
328, -33.308681, -35.797768, 34, traditional
329, -27.260862, -37.815746, 32, saw
330, -20.180462, -36.020199, 33, built
331, -40.229549, -32.382771, 33, wrote
332, -22.643318, -38.575676, 33, best
333, -29.176973, -37.341251, 10, twenty
334, -27.871466, -35.584183, 28, law
335, -34.682140, -34.950336, 32, ever
336, -41.010555, -32.665329, 33, beds
337, -27.422831, -34.975716, 33, project
338, -31.352108, -35.693634, 20, nation
339, 42.752651, -17.033115, 32, james
340, -35.501923, -34.809948, 33, included
341, -38.418026, -32.808887, 33, hand
342, -29.612350, -36.771255, 32, always
343, 44.849129, -5.695689, 31, co
344, -30.630365, -35.599293, 29, status
345, -20.193237, -38.973381, 32, homes
346, 45.184116, -22.058384, 32, side
347, -31.054800, -33.736298, 31, death
348, -32.746456, -33.460094, 32, without
349, -22.993753, -38.143894, 44, towns
350, 47.493637, -19.998327, 1, non
351, 55.713306, -7.237570, 32, tell
352, -25.030111, -35.716415, 32, word
353, -15.521029, -38.772900, 31, treaty
354, 43.443329, -17.742830, 31, americans
355, -15.981344, -38.716354, 28, dead
356, -15.142317, -36.881519, 30, natural
357, 44.138187, -15.501427, 31, chicago
358, -15.745508, -39.067368, 31, continued
359, 46.576366, -3.977317, 31, mohai
360, -26.688761, -34.687752, 31, california
361, -39.352703, -32.642487, 26, deep
362, -33.403999, -32.312637, 27, williams
363, 46.514450, -18.448187, 30, neighbors
364, -15.853962, -39.483265, 31, central
365, 46.911133, -3.555305, 31, richard
